SUPPLIER_NAME,SUPPLIER_TYPE,Address,COUNTRY,CITY,EMAIL_PATTERN,PHONE,WEBSITE,CONTACT PERSON,CONTACT_POSITION,SPECIALTIES,CATEGORY,PRODUCT,ORIGIN,Technical Specification,SUPPLIER_CAPACITY,CERTIFICATIONS,LOADING_PORT,DISCHARGE PORT,INCOTERMS,PAYMENT_TERMS,NOTES AFTER EXCHANGES,TARGET_PRICE_HINT,MOQ,PACKAGING,PRIORITY
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Plant / Spice / Botanical,Hibiscus Flower (Hibiscus Sabdariffa)Premium Grade A – Whole Dark Red,Nigeria,"Moisture ≤5%; purity ≥99%; foreign matter ≤1%; deep ruby red color; broken pieces ≤3%; sun-dried, insect-free.",500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (1×40ft FCL),25 kg / 50 kg PP bags or custom vacuum packaging,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Plant / Spice / Botanical,Hibiscus Flower (Hibiscus Sabdariffa)Standard Grade B – Split Flowers,Nigeria,"Moisture ≤5%; purity ≥99%; foreign matter ≤1%; deep ruby red color; broken pieces ≤3%; sun-dried, insect-free.",500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (1×40ft FCL),25 kg / 50 kg PP bags or custom vacuum packaging,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Oilseeds / Seeds,Sesame Seeds (Benne Seed) Machine Cleaned Natural White,Nigeria,Purity ≥99%; moisture ≤8%; oil content 48–52%; admixture ≤1%; FFA ≤1.5%; natural white / light honey color.,1 500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft container),50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Oilseeds / Seeds,Sesame Seeds (Benne Seed)Hulled Sesame Seeds,Nigeria,Purity ≥99%; moisture ≤8%; oil content 48–52%; admixture ≤1%; FFA ≤1.5%; natural white / light honey color.,1 500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft container),50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Oilseeds / Seeds,Sesame Seeds (Benne Seed) Raw Natural Kano Grade,Nigeria,Purity ≥99%; moisture ≤8%; oil content 48–52%; admixture ≤1%; FFA ≤1.5%; natural white / light honey color.,1 500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft container),50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Vegetable Oil,Palm Oil Premium Grade Crude Palm Oil (CPO),Nigeria,FFA ≤5%; moisture & impurities ≤0.25%; deep red / golden amber color; iodine value 50–55 min; melting point 33–39°C.,1 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,"25 L jerrycans, 200 L steel drums or flexitanks (20 MT)",
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Vegetable Oil,Palm Oil Industrial Refined Grade,Nigeria,FFA ≤5%; moisture & impurities ≤0.25%; deep red / golden amber color; iodine value 50–55 min; melting point 33–39°C.,1 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,"25 L jerrycans, 200 L steel drums or flexitanks (20 MT)",
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Biomass / Industrial Fuel,Palm Kernel Shell (PKS) Palm Kernel Shell – 5–40 mm,Nigeria,"Moisture ≤15%; size 5–40 mm; calorific value 4,000–4,400 kcal/kg; ash ≤3%; sulfur ≤0.08%.",5 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,100 MT,"Bulk vessel cargo or 1,000 kg jumbo bags",
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice / Root,Ginger Dried Split Ginger,Nigeria,For dried ginger: moisture ≤10%; oil content 2.0–2.5% min; extraneous matter ≤1%; gingerol/pungency high grade; purity ≥98%.,800 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,"40 kg / 50 kg mesh, jute or PP bags",
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice / Root,Ginger Fresh Whole Ginger Roots,Nigeria,For dried ginger: moisture ≤10%; oil content 2.0–2.5% min; extraneous matter ≤1%; gingerol/pungency high grade; purity ≥98%.,800 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,"40 kg / 50 kg mesh, jute or PP bags",
